title="Potential"
variables = "x","y","U(V)"
zone i=11,j=11
0 0 0
0.01 0 0
0.02 0 0
0.03 0 0
0.04 0 3.55271e-15
0.05 0 0
0.06 0 3.55271e-15
0.07 0 1.77636e-15
0.08 0 0
0.09 0 -0
0.1 0 0
0 0.01 18.7461
0.01 0.01 18.5371
0.02 0.01 17.8657
0.03 0.01 16.6161
0.04 0.01 14.6741
0.05 0.01 12.1006
0.06 0.01 9.31301
0.07 0.01 6.6468
0.08 0.01 4.23306
0.09 0.01 2.05092
0.1 0.01 0
0 0.02 37.9102
0.01 0.02 37.5365
0.02 0.02 36.3097
0.03 0.02 33.9245
0.04 0.02 29.9796
0.05 0.02 24.4154
0.06 0.02 18.5046
0.07 0.02 13.0411
0.08 0.02 8.23452
0.09 0.02 3.97063
0.1 0.02 0
0 0.03 57.8217
0.01 0.03 57.3891
0.02 0.03 55.9121
0.03 0.03 52.7926
0.04 0.03 46.9043
0.05 0.03 37.0769
0.06 0.03 27.2489
0.07 0.03 18.7786
0.08 0.03 11.6933
0.09 0.03 5.59708
0.1 0.03 0
0 0.04 78.5985
0.01 0.04 78.2861
0.02 0.04 77.1569
0.03 0.04 74.4294
0.04 0.04 67.7682
0.05 0.04 49.739
0.06 0.04 34.6356
0.07 0.04 23.131
0.08 0.04 14.1628
0.09 0.04 6.72445
0.1 0.04 0
0 0.05 100
0.01 0.05 100
0.02 0.05 100
0.03 0.05 100
0.04 0.05 100
0.05 0.05 59.4753
0.06 0.05 38.4234
0.07 0.05 24.947
0.08 0.05 15.1026
0.09 0.05 7.13789
0.1 0.05 0
0 0.06 78.5985
0.01 0.06 78.2861
0.02 0.06 77.1569
0.03 0.06 74.4294
0.04 0.06 67.7682
0.05 0.06 49.739
0.06 0.06 34.6356
0.07 0.06 23.131
0.08 0.06 14.1628
0.09 0.06 6.72445
0.1 0.06 0
0 0.07 57.8217
0.01 0.07 57.3891
0.02 0.07 55.9121
0.03 0.07 52.7926
0.04 0.07 46.9043
0.05 0.07 37.0769
0.06 0.07 27.2489
0.07 0.07 18.7786
0.08 0.07 11.6933
0.09 0.07 5.59708
0.1 0.07 0
0 0.08 37.9102
0.01 0.08 37.5365
0.02 0.08 36.3097
0.03 0.08 33.9245
0.04 0.08 29.9796
0.05 0.08 24.4154
0.06 0.08 18.5046
0.07 0.08 13.0411
0.08 0.08 8.23452
0.09 0.08 3.97063
0.1 0.08 0
0 0.09 18.7461
0.01 0.09 18.5371
0.02 0.09 17.8657
0.03 0.09 16.6161
0.04 0.09 14.6741
0.05 0.09 12.1006
0.06 0.09 9.31301
0.07 0.09 6.6468
0.08 0.09 4.23306
0.09 0.09 2.05092
0.1 0.09 0
0 0.1 0
0.01 0.1 0
0.02 0.1 0
0.03 0.1 0
0.04 0.1 0
0.05 0.1 0
0.06 0.1 0
0.07 0.1 0
0.08 0.1 0
0.09 0.1 0
0.1 0.1 0
